b,profile_a,profile_NLL,optimizer_success,delta_NLL
-2.3517933570593073,2.361884975930916,2313851.663052735,True,15583.686732822563
-2.3351266903926406,2.351311108289579,2315080.1828854806,True,16812.206565568224
-2.318460023725974,2.340749017514287,2316359.402034493,True,18091.425714580808
-2.3017933570593074,2.3301988816664867,2317689.7820316944,True,19421.80571178207
-2.285126690392641,2.3196607828945184,2319071.788475142,True,20803.812155229505
-2.268460023725974,2.3091348139851373,2320505.891043077,True,22237.914723164868
-2.2517933570593076,2.298621104362543,2321992.563507173,True,23724.587187260855
-2.235126690392641,2.2881196813805924,2323532.283744935,True,25264.30742502259
-2.2184600237259744,2.2776306803800104,2325125.5337512353,True,26857.557431322988
-2.2017933570593073,2.2671542058318157,2326772.7996489294,True,28504.823329017032
-2.1851266903926407,2.25669034753972,2328474.5716985334,True,30206.595378621016
-2.168460023725974,2.24623920439177,2330231.344306914,True,31963.36798700178
-2.1517933570593075,2.2358008752762704,2332043.6160349566,True,33775.63971504429
-2.1351266903926405,2.2253754594322217,2333911.889604177,True,35643.913284264505
-2.118460023725974,2.214963058662364,2335836.6719022263,True,37568.69558231393
-2.1017933570593073,2.2045637728955048,2337818.4739872646,True,39550.4976673522
-2.0851266903926406,2.194177703479515,2339857.811091142,True,41589.83477122942
-2.068460023725974,2.1838049520999214,2341955.2026213664,True,43687.22630145401
-2.0517933570593074,2.1734456209388364,2344111.1721617933,True,45843.19584188098
-2.035126690392641,2.163099812655191,2346326.2474720106,True,48058.2711520982
-2.018460023725974,2.1527676303066836,2348600.9604853652,True,50332.98416545289
-2.0017933570593076,2.1424491774859926,2350935.847305587,True,52667.87098567467
-1.9851266903926408,2.1321445580482155,2353331.4482019627,True,55063.47188205039
-1.9684600237259742,2.1218538753122163,2355788.307603018,True,57520.33128310554
-1.9517933570593076,2.111577237341191,2358306.9740886455,True,60038.997768733185
-1.9351266903926407,2.101314745598586,2360888.000380652,True,62620.02406073967
-1.9184600237259741,2.0910665068370586,2363531.943331649,True,65263.967011736706
-1.9017933570593075,2.0808326269137645,2366239.363912256,True,67971.38759234361
-1.8851266903926407,2.070613210269402,2369010.8271965566,True,70742.85087664425
-1.868460023725974,2.0604083775358877,2371846.9023457537,True,73578.92602584139
-1.8517933570593075,2.05021820046623,2374748.1625899742,True,76480.18627006188
-1.8351266903926409,2.0400428160078867,2377715.1852081693,True,79447.20888825692
-1.818460023725974,2.0298823305498686,2380748.5515060504,True,82480.57518613804
-1.8017933570593074,2.019736820909315,2383848.846792016,True,85580.87047210382
