graph_type,n,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_empirical_mean,pfa_spectral_emp_mean,pfa_spectral_spec_mean,pd_mc_emp_mean,pd_spectral_emp_mean,pd_mc_spec_mean,pd_spectral_spec_mean,degree_cv_mean
star,15,0.15,1.0,2.5711341353970747,2.543638043315023,-0.009726448657717544,0.01,0.009641192994331338,0.010000000007983678,0.14076,0.14069341454281536,0.14352,0.14329134544859545,1.737198072430758
star,15,0.15,1.5,2.5318610869277904,2.543638043315023,0.0049808146324230905,0.01,0.010228593812827836,0.010000000007983678,0.65988,0.6560682439594451,0.65332,0.6490264806786924,1.737198072430758
star,15,0.15,2.0,2.528147841855528,2.543638043315023,0.006559553932758072,0.01,0.010301916907025343,0.010000000007983678,0.99942,0.9991768856217931,0.99932,0.9991288210525331,1.737198072430758
star,15,0.15,3.0,2.579941896077723,2.543638043315023,-0.01355749037171873,0.01,0.009460589537464148,0.010000000007983678,1.0,0.9999999999999993,1.0,0.9999999999999997,1.737198072430758
star,15,0.25,1.0,7.051283159114791,7.06566112011741,0.002542211586097682,0.01,0.010132552363018433,0.01000000000724871,0.08198,0.08158121147738877,0.08192,0.08128330293877636,1.737198072430758
star,15,0.25,1.5,7.136132532422259,7.06566112011741,-0.009525648886031494,0.01,0.009617961949435917,0.01000000000724871,0.11864,0.11794761026483418,0.12042,0.11987242910867527,1.737198072430758
star,15,0.25,2.0,7.1046132989125,7.06566112011741,-0.005193378932123968,0.01,0.009795686943048576,0.01000000000724871,0.23601999999999998,0.23712359988067128,0.23959999999999998,0.24058223464945883,1.737198072430758
star,15,0.25,3.0,7.247423970020284,7.06566112011741,-0.024797135119948282,0.01,0.008994238780303133,0.01000000000724871,0.96508,0.9666653403547907,0.9741199999999999,0.9753260944617524,1.737198072430758
star,15,0.35,1.0,13.674454686439143,13.848693640674998,0.013506427277913197,0.01,0.01061918841997841,0.010000000007694854,0.05264,0.053812949910667464,0.0513,0.05245814144797345,1.737198072430758
star,15,0.35,1.5,13.851486267524503,13.848693640674998,3.556518878846324e-05,0.01,0.010013320213956733,0.010000000007694854,0.08706,0.0865676163592891,0.08696,0.08654330953449185,1.737198072430758
