graph_type,n,sigma,amplitude,repetition,edges,mean_degree,degree_std,degree_cv,trace_L,trace_L2,lambda2,lambda_max,tau_empirical,tau_spectral,tau_relative_error,pfa_empirical,pfa_spectral_at_emp_tau,pfa_spectral_at_spec_tau,pd_mc_emp_tau,pd_spectral_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_spectral_spec_tau,pd_error_spec_tau
star,15,0.35,2.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,14.26519260014892,13.848693640674998,-0.029196868990718952,0.01,0.00880613592308449,0.010000000007694854,0.11,0.10731603798444032,0.0026839620155596766,0.1147,0.11251873597487679,0.0021812640251232113
star,15,0.35,2.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.309244920538898,13.848693640674998,0.04053188015975422,0.01,0.01179727963294186,0.010000000007694854,0.1156,0.1203173404876818,-0.004717340487681812,0.1071,0.11251873597487679,-0.005418735974876784
star,15,0.35,2.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,14.089425685100203,13.848693640674998,-0.01708600831613615,0.01,0.009291066192201491,0.010000000007694854,0.1107,0.10943213602091748,0.0012678639790825313,0.1155,0.11251873597487679,0.0029812640251232203
star,15,0.35,3.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.657287892191567,13.848693640674998,0.014014916431018916,0.01,0.010603130803727046,0.010000000007694854,0.3413,0.33527949066472806,0.0060205093352719286,0.3278,0.32065491449992944,0.007145085500070536
star,15,0.35,3.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.518837553424177,13.848693640674998,0.024399737473527975,0.01,0.011062553523063123,0.010000000007694854,0.346,0.34634945127253924,-0.00034945127253926955,0.3209,0.32065491449992944,0.0002450855000705743
star,15,0.35,3.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,14.331320611476054,13.848693640674998,-0.033676378045341016,0.01,0.008630468493651788,0.010000000007694854,0.2894,0.28714650103549605,0.0022534989645039416,0.3257,0.32065491449992944,0.005045085500070545
star,15,0.35,3.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.83364015610891,13.848693640674998,0.0010881795677937292,0.01,0.01004613259199122,0.010000000007694854,0.3158,0.32177689420671646,-0.005976894206716432,0.3146,0.32065491449992944,-0.0060549144999294535
star,15,0.35,3.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.776714587504886,13.848693640674998,0.005224689290971858,0.01,0.01022257594375825,0.010000000007694854,0.3272,0.3260630101168489,0.001136989883151085,0.3226,0.32065491449992944,0.0019450855000705536
star,30,0.15,1.0,0,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,4.941917381324888,5.120970975499109,0.03623160412410978,0.01,0.011609660210632922,0.010000000000132847,0.0634,0.06339736757966098,2.632420339016006e-06,0.0592,0.05927712782160347,-7.712782160346904e-05
star,30,0.15,1.0,1,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.171746832275104,5.120970975499109,-0.009817931624015327,0.01,0.009586581851812326,0.010000000000132847,0.0591,0.05821907978813838,0.0008809202118616188,0.06,0.05927712782160347,0.0007228721783965261
star,30,0.15,1.0,2,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,4.960520814552285,5.120970975499109,0.03234542640686518,0.01,0.011430707322308609,0.010000000000132847,0.0648,0.0629391913994386,0.0018608086005613977,0.0614,0.05927712782160347,0.0021228721783965315
star,30,0.15,1.0,3,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,4.975847484289004,5.120970975499109,0.029165582680804592,0.01,0.011285400966635994,0.010000000000132847,0.0621,0.06256719288187457,-0.00046719288187456465,0.0585,0.05927712782160347,-0.0007771278216034683
star,30,0.15,1.0,4,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.088276856589643,5.120970975499109,0.006425381289370023,0.01,0.010275837040835845,0.010000000000132847,0.0649,0.059983063896862324,0.004916936103137676,0.0644,0.05927712782160347,0.005122872178396527
star,30,0.15,1.5,0,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.301075728079978,5.120970975499109,-0.033975132938933096,0.01,0.008610830641252287,0.010000000000132847,0.1121,0.10519029907947276,0.0069097009205272425,0.1224,0.11684570277120253,0.005554297228797467
star,30,0.15,1.5,1,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.1389537130866225,5.120970975499109,-0.0034992993888463453,0.01,0.009851533068430285,0.010000000000132847,0.1188,0.11559382160177592,0.0032061783982240827,0.1201,0.11684570277120253,0.0032542972287974703
star,30,0.15,1.5,2,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.140071759873477,5.120970975499109,-0.0037160540293387236,0.01,0.009842377415149817,0.010000000000132847,0.111,0.11551667118031123,-0.004516671180311224,0.1122,0.11684570277120253,-0.004645702771202534
star,30,0.15,1.5,3,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.154608260602479,5.120970975499109,-0.006525672447403086,0.01,0.00972412940648476,0.010000000000132847,0.1118,0.11452077732430518,-0.0027207773243051875,0.1136,0.11684570277120253,-0.0032457027712025216
star,30,0.15,1.5,4,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.206534787744635,5.120970975499109,-0.016433926927162806,0.01,0.009313475931844561,0.010000000000132847,0.1143,0.11106977207207805,0.00323022792792195,0.1197,0.11684570277120253,0.0028542972287974727
star,30,0.15,2.0,0,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.04621150647918,5.120970975499109,0.014814969393165558,0.01,0.01064224999598068,0.010000000000132847,0.5076,0.5148373741784275,-0.007237374178427403,0.4789,0.4848309308566175,-0.0059309308566175
star,30,0.15,2.0,1,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,4.875668639478583,5.120970975499109,0.05031152733274324,0.01,0.012270638025769609,0.010000000000132847,0.5814,0.5867319737457817,-0.0053319737457816485,0.4762,0.4848309308566175,-0.00863093085661748
star,30,0.15,2.0,2,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.38705341106227,5.120970975499109,-0.04939294550463587,0.01,0.008018969791231567,0.010000000000132847,0.3913,0.38847107158538385,0.0028289284146161275,0.4881,0.4848309308566175,0.003269069143382486
star,30,0.15,2.0,3,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.235470306383158,5.120970975499109,-0.02186992269719307,0.01,0.009092392832835527,0.010000000000132847,0.4447,0.44122202939766714,0.003477970602332847,0.4943,0.4848309308566175,0.009469069143382525
star,30,0.15,2.0,4,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.387010564221668,5.120970975499109,-0.04938538463048236,0.01,0.008019254131453435,0.010000000000132847,0.3871,0.38848513363805126,-0.0013851336380512613,0.4886,0.4848309308566175,0.0037690691433824863
star,30,0.15,3.0,0,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.238352246810561,5.120970975499109,-0.022408052338007908,0.01,0.009070670052537533,0.010000000000132847,1.0,0.9999999739834793,2.6016520715543834e-08,1.0,0.9999999902166519,9.783348131620073e-09
star,30,0.15,3.0,1,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.295696041408247,5.120970975499109,-0.032993786754927645,0.01,0.008649318245184279,0.010000000000132847,1.0,0.999999958664796,4.1335204037373785e-08,1.0,0.9999999902166519,9.783348131620073e-09
star,30,0.15,3.0,2,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.40629740013358,5.120970975499109,-0.05277667940121481,0.01,0.007892297869521003,0.010000000000132847,1.0,0.999999901701513,9.829848701681243e-08,1.0,0.9999999902166519,9.783348131620073e-09
star,30,0.15,3.0,3,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.1706748844033115,5.120970975499109,-0.009612654056848207,0.01,0.00959512622732095,0.010000000000132847,1.0,0.9999999851222109,1.4877789111800155e-08,1.0,0.9999999902166519,9.783348131620073e-09
star,30,0.15,3.0,4,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,5.054611118592512,5.120970975499109,0.013128578114051817,0.01,0.010568030115511384,0.010000000000132847,1.0,0.9999999944751241,5.524875890117187e-09,1.0,0.9999999902166519,9.783348131620073e-09
star,30,0.25,1.0,0,29,1.9333333333333333,5.026153819992203,2.5997347344787256,58.0,928.0,0.9999999999999982,30.0,14.311455715712462,14.224920733057044,-0.006046553500522834,0.01,0.009744233322176443,0.010000000000129239,0.0448,0.04389906838594223,0.0009009316140577706,0.0453,0.04429993426981773,0.0010000657301822702
