graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,degree_std,degree_cv,min_degree,max_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,observed_pd,gesnr_mean,predicted_pd_mean,mean_local_gesnr,median_local_gesnr,predicted_pd_local,residual_mean,residual_local,star_center_observed_pd,star_center_predicted_pd,star_leaf_observed_pd,star_leaf_predicted_pd,repetition
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6886829150804146,0.009333333333333334,0.091,2.1389631597324934,0.3134844544022334,2.196065836943208,1.1458731212852642,0.1482040353117458,-0.22248445440223338,-0.05720403531174581,0.9858156028368794,0.9875788582362991,0.023130715438407747,0.08453978031854406,10
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.54112684399835,0.010333333333333333,0.08525,2.1389631597324934,0.3134844544022334,2.002413279445999,1.1458731212852642,0.13646452729881497,-0.2282344544022334,-0.05121452729881497,0.9695652173913043,0.9875788582362992,0.03129973474801061,0.08453978031854406,11
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4116097310659232,0.011,0.104,2.1389631597324934,0.3134844544022334,2.132756346992197,1.1458731212852642,0.14436611923059536,-0.2094844544022334,-0.04036611923059537,0.9849056603773585,0.9875788582362992,0.041499330655957165,0.08453978031854406,12
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.640073000189133,0.008,0.09575,2.1389631597324934,0.3134844544022334,2.140204522280552,1.1458731212852642,0.1448176387695542,-0.21773445440223338,-0.049067638769554195,0.9887640449438202,0.9875788582362992,0.031877846236271094,0.08453978031854406,13
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.53507236445943,0.011666666666666667,0.09725,2.1389631597324934,0.3134844544022334,2.158824960501437,1.1458731212852642,0.14594643761695142,-0.21623445440223338,-0.048696437616951416,0.9926470588235294,0.9875788582362991,0.0319206008583691,0.08453978031854406,14
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.545085185696949,0.012333333333333333,0.096,2.1389631597324934,0.3134844544022334,2.0992395581946033,1.1458731212852642,0.1423342813052804,-0.21748445440223338,-0.04633428130528039,0.98828125,0.9875788582362991,0.03498931623931624,0.08453978031854406,15
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4957037667163355,0.011,0.09525,2.1389631597324934,0.3134844544022334,2.0694468570411866,1.1458731212852642,0.1405282031494449,-0.21823445440223338,-0.04527820314944489,0.9919354838709677,0.9875788582362991,0.035980810234541576,0.08453978031854405,16
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.646987092187001,0.009666666666666667,0.10325,2.1389631597324934,0.3134844544022334,2.2482030639616877,1.1458731212852642,0.15136467208445795,-0.21023445440223337,-0.04811467208445795,0.9864864864864865,0.9875788582362991,0.03266738660907127,0.08453978031854406,17
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6268828976059266,0.008666666666666666,0.09875,2.1389631597324934,0.3134844544022334,2.151376785213083,1.1458731212852642,0.14549491807799253,-0.21473445440223338,-0.046744918077992526,0.9925925925925926,0.9875788582362992,0.034048257372654156,0.08453978031854406,18
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.449888342059589,0.011666666666666667,0.10425,2.1389631597324934,0.3134844544022334,2.158824960501437,1.1458731212852642,0.14594643761695142,-0.20923445440223337,-0.04169643761695142,0.9926470588235294,0.9875788582362991,0.039431330472103,0.08453978031854406,19
