graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,degree_std_mean,degree_std_ci95,degree_cv_mean,degree_cv_ci95,min_degree_mean,min_degree_ci95,max_degree_mean,max_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,observed_pd_mean,observed_pd_ci95,gesnr_mean_mean,gesnr_mean_ci95,predicted_pd_mean_mean,predicted_pd_mean_ci95,mean_local_gesnr_mean,mean_local_gesnr_ci95,median_local_gesnr_mean,median_local_gesnr_ci95,predicted_pd_local_mean,predicted_pd_local_ci95,residual_mean_mean,residual_mean_ci95,residual_local_mean,residual_local_ci95,star_center_observed_pd_mean,star_center_observed_pd_ci95,star_center_predicted_pd_mean,star_center_predicted_pd_ci95,star_leaf_observed_pd_mean,star_leaf_observed_pd_ci95,star_leaf_predicted_pd_mean,star_leaf_predicted_pd_ci95
star,30,0.35,0.75,29.0,0.0,1.933333333333333,1.9968686188423001e-16,5.026153819992203,0.0,2.599734734478725,1.9968686188423001e-16,1.0,0.0,29.0,0.0,58.0,0.0,928.0,0.0,0.9999999999999986,1.497651464131725e-16,30.0,0.0,27.76151819288632,0.33685283283872297,0.009983333333333334,0.0009172113724515117,0.021475,0.0010938841707179823,0.20606497986484076,1.2480428867764376e-17,0.0011397298144360986,9.750335052940919e-20,0.20730847543299064,0.0034540426484135794,0.10658533441284865,6.240214433882188e-18,0.018416779719317607,0.0006243247939137511,0.020335270185563907,0.0010938841707179825,0.0030582202806823944,0.0010724236414062372,0.31470433900892525,0.018779599269806983,0.5396449472203708,1.0707015133844175e-16,0.011242234227622494,0.0009701991182383844,0.00021087994890564644,1.7450444074374908e-20
star,30,0.35,1.25,29.0,0.0,1.933333333333333,1.9968686188423001e-16,5.026153819992203,0.0,2.599734734478725,1.9968686188423001e-16,1.0,0.0,29.0,0.0,58.0,0.0,928.0,0.0,0.9999999999999986,1.497651464131725e-16,30.0,0.0,27.43607821384183,0.5597521768154485,0.010383333333333333,0.0013714882086378827,0.04175,0.0015669519523752577,0.5724027218467799,0.0,0.015373858380865949,1.560053608470547e-18,0.5702611461460774,0.010058978117986467,0.2960703733690241,0.0,0.033916886873497795,0.0011386946570954757,0.026376141619134052,0.0015669519523752577,0.00783311312650221,0.0019586123252539793,0.8284696487968637,0.01655486664424488,0.9413177569003359,5.468649934570566e-17,0.01486085132544121,0.0015763916590743128,0.0028779916374270737,1.7441929585419926e-19
star,30,0.35,1.75,29.0,0.0,1.933333333333333,1.9968686188423001e-16,5.026153819992203,0.0,2.599734734478725,1.9968686188423001e-16,1.0,0.0,29.0,0.0,58.0,0.0,928.0,0.0,0.9999999999999986,1.497651464131725e-16,30.0,0.0,27.394458041879993,0.402907014983515,0.010633333333333333,0.0010501577269448567,0.05143749999999999,0.0023242400993601507,1.1219093348196882,9.984343094211501e-17,0.08044422061331274,6.240214433882188e-18,1.1233987661779836,0.017653264148138097,0.580297931803287,4.9921715471057503e-17,0.048439264501019,0.0010572198273509229,-0.029006720613312758,0.0023242400993601507,0.0029982354989809947,0.0016661576730674736,0.9884263416354259,0.005146094908246233,0.9889957706499507,6.215203453740268e-17,0.01904042595784038,0.0017290313775285393,0.01591400653549326,2.3139334421854804e-18
star,30,0.35,2.5,29.0,0.0,1.933333333333333,1.9968686188423001e-16,5.026153819992203,0.0,2.599734734478725,1.9968686188423001e-16,1.0,0.0,29.0,0.0,58.0,0.0,928.0,0.0,0.9999999999999986,1.497651464131725e-16,30.0,0.0,28.032231739710625,0.3639063510182606,0.009033333333333334,0.0011762865148050796,0.06258749999999999,0.002658833764424189,2.2896108873871195,0.0,0.3521526693689824,2.4960857735528752e-17,2.2876765609477756,0.048040110330269406,1.1842814934760963,0.0,0.12148448937593004,0.0013138716843171699,-0.2895651693689823,0.0026588337644241865,-0.05889698937593004,0.0017854212489915805,1.0,0.0,0.9982124974877313,4.9921715471057503e-17,0.030327046284008535,0.001805128529579588,0.09130721613905275,4.627866884370961e-18
star,60,0.15,0.75,59.0,0.0,1.9666666666666668,9.984343094211501e-17,7.425107556272989,0.0,3.7754784184438934,1.9968686188423001e-16,1.0,0.0,59.0,0.0,118.0,0.0,3658.0,0.0,0.9999999999999979,9.984343094211501e-17,60.0,0.0,10.397482817989669,0.1637453075466979,0.009699999999999999,0.0011033609049398605,0.029012500000000004,0.0011394752889863503,0.5748227091490079,4.9921715471057503e-17,0.0155382569566622,1.560053608470547e-18,0.5815330335714892,0.012682095407254275,0.2922827334655974,4.9921715471057503e-17,0.01962339462243918,0.0007382786021579952,0.013474243043337806,0.0011394752889863507,0.009389105377560823,0.0008025379483437548,0.987457602729323,0.006034023065316969,0.9896559796008878,1.5982747315347737e-16,0.012373923527463145,0.0008001529929258958,0.002784906945252394,1.5721942865815978e-19
star,60,0.15,1.25,59.0,0.0,1.9666666666666668,9.984343094211501e-17,7.425107556272989,0.0,3.7754784184438934,1.9968686188423001e-16,1.0,0.0,59.0,0.0,118.0,0.0,3658.0,0.0,0.9999999999999979,9.984343094211501e-17,60.0,0.0,10.137012779780214,0.17197247900032586,0.010249999999999999,0.001141366729713069,0.03874999999999999,0.0017000134674389155,1.596729747636133,9.984343094211501e-17,0.17761948666571054,1.2480428867764376e-17,1.5829951654848569,0.025960046914189475,0.8118964818488814,0.0,0.05256831992103288,0.0005305730200276645,-0.13886948666571056,0.001700013467438915,-0.01381831992103288,0.0015610783137358772,1.0,0.0,0.9992367634231976,7.652854067337932e-17,0.02274792235421756,0.0015868985815144447,0.03680855805818073,2.87659671981088e-18
star,60,0.15,1.75,59.0,0.0,1.9666666666666668,9.984343094211501e-17,7.425107556272989,0.0,3.7754784184438934,1.9968686188423001e-16,1.0,0.0,59.0,0.0,118.0,0.0,3658.0,0.0,0.9999999999999979,9.984343094211501e-17,60.0,0.0,10.241269291387308,0.2260900084458971,0.009633333333333334,0.0007186666666666665,0.0595375,0.005155523010632179,3.129590305366821,1.9968686188423001e-16,0.5475328096174834,9.984343094211501e-17,3.0922871802439538,0.07456390700441796,1.5913171044238077,9.984343094211501e-17,0.1897452486294175,0.0006652934128177449,-0.48799530961748355,0.005155523010632176,-0.1302077486294175,0.004921985577629041,1.0,0.0,0.9998636904410617,1.0589995061415043e-16,0.043995888175803584,0.004971014373560908,0.1763529044726054,2.4328834701823273e-17
star,60,0.15,2.5,59.0,0.0,1.9666666666666668,9.984343094211501e-17,7.425107556272989,0.0,3.7754784184438934,1.9968686188423001e-16,1.0,0.0,59.0,0.0,118.0,0.0,3658.0,0.0,0.9999999999999979,9.984343094211501e-17,60.0,0.0,10.18650258010499,0.22182489057167853,0.009916666666666667,0.0008686540640789839,0.2064625,0.0190888367801294,6.386918990544532,3.9937372376846002e-16,0.8826164067549559,0.0,6.515631646133643,0.18919871746186803,3.2475859273955257,0.0,0.5783342267534969,0.0004309991744021795,-0.676153906754956,0.019088836780129393,-0.37187172675349683,0.01899657047697308,1.0,0.0,0.9999780601100128,1.5386906095100995e-16,0.1924693986183856,0.01925945764417035,0.5708895409460014,7.147701892863962e-17
star,60,0.25,0.75,59.0,0.0,1.9666666666666668,9.984343094211501e-17,7.425107556272989,0.0,3.7754784184438934,1.9968686188423001e-16,1.0,0.0,59.0,0.0,118.0,0.0,3658.0,0.0,0.9999999999999979,9.984343094211501e-17,60.0,0.0,28.434930067356948,0.5054590264974618,0.010183333333333334,0.0012993174906544079,0.023100000000000002,0.0014688820310197247,0.2069361752936429,0.0,0.0011520954830297296,0.0,0.20942817787917054,0.007382882642150465,0.10522178404761502,0.0,0.01513895628637169,0.0010581185837067687,0.02194790451697027,0.0014688820310197247,0.007961043713628312,0.0015131200618283837,0.669201551834379,0.021838431647255834,0.8748696119490129,8.2785799554189e-17,0.011914751537549399,0.001297938263035163,0.00020404167392456093,8.17590449316559e-21
star,60,0.25,1.25,59.0,0.0,1.9666666666666668,9.984343094211501e-17,7.425107556272989,0.0,3.7754784184438934,1.9968686188423001e-16,1.0,0.0,59.0,0.0,118.0,0.0,3658.0,0.0,0.9999999999999979,9.984343094211501e-17,60.0,0.0,28.832579594643544,0.5910883755334184,0.010333333333333333,0.0009154032122161645,0.0277375,0.0015423533752712203,0.5748227091490079,4.9921715471057503e-17,0.0155382569566622,1.560053608470547e-18,0.5658520649210597,0.012973692195112112,0.2922827334655974,4.9921715471057503e-17,0.018710538880232715,0.000755253688846769,0.012199243043337804,0.0015423533752712206,0.009026961119767285,0.001305842278071252,0.9911529791149979,0.003771120176108508,0.9896559796008878,1.8545094209226998e-16,0.011943129826890558,0.001317845299929795,0.002784906945252394,1.7441929585419926e-19
star,60,0.25,1.75,59.0,0.0,1.9666666666666668,9.984343094211501e-17,7.425107556272989,0.0,3.7754784184438934,1.9968686188423001e-16,1.0,0.0,59.0,0.0,118.0,0.0,3658.0,0.0,0.9999999999999979,9.984343094211501e-17,60.0,0.0,28.548631424398174,0.7850693747299543,0.011166666666666668,0.002044982220143186,0.03485,0.0026241800122785218,1.1266525099320561,1.9968686188423001e-16,0.08124702537081352,0.0,1.1439580834426646,0.02385448517726578,0.5728741575925707,0.0,0.03229651297347282,0.0007055340643172131,-0.04639702537081352,0.002624180012278522,0.0025534870265271777,0.002560425035909192,1.0,0.0,0.9981379538989892,5.581417467334376e-17,0.017970948432020663,0.0026022621724820353,0.015405804149656172,3.0210308223986077e-19
