noise,fixed_tau,empirical_tau,gaussian_tau,fixed_pfa,empirical_pfa,gaussian_pfa,fixed_pd,empirical_pd,gaussian_pd,repetition
0.2,0.88080689542505,3.4766924781100217,3.035518844523591,0.899,0.008333333333333333,0.026333333333333334,1.0,0.968,0.9886666666666667,28
0.2,0.88080689542505,3.3930642784141645,3.036894102486749,0.8886666666666667,0.011666666666666667,0.028,1.0,0.9716666666666667,0.988,29
0.25,0.88080689542505,5.412866718033708,4.788031571093892,0.986,0.009666666666666667,0.027,1.0,0.773,0.8706666666666667,0
0.25,0.88080689542505,5.218736495875048,4.713251479259007,0.9863333333333333,0.008,0.021666666666666667,1.0,0.803,0.8753333333333333,1
0.25,0.88080689542505,5.512017360271511,4.708219990120768,0.9856666666666667,0.004666666666666667,0.02666666666666667,1.0,0.7563333333333333,0.8716666666666667,2
0.25,0.88080689542505,5.4297516930501395,4.744972131283253,0.9893333333333333,0.012333333333333333,0.029666666666666668,1.0,0.7703333333333333,0.8703333333333333,3
0.25,0.88080689542505,5.14104372315781,4.6768183625303,0.9876666666666667,0.013,0.026,1.0,0.8166666666666667,0.8756666666666667,4
0.25,0.88080689542505,5.206633745964219,4.654054069886623,0.9893333333333333,0.011333333333333334,0.031,1.0,0.8116666666666666,0.888,5
0.25,0.88080689542505,5.199707723468315,4.691305271869495,0.9883333333333333,0.01,0.028333333333333332,1.0,0.796,0.8733333333333333,6
0.25,0.88080689542505,5.339170437910824,4.720415561074438,0.9863333333333333,0.009,0.025,1.0,0.773,0.8683333333333333,7
0.25,0.88080689542505,5.298789465546831,4.7140715630523555,0.986,0.013333333333333334,0.03,1.0,0.7866666666666666,0.87,8
0.25,0.88080689542505,5.3277307691862195,4.714000479737285,0.9893333333333333,0.012333333333333333,0.025333333333333333,1.0,0.793,0.8826666666666667,9
0.25,0.88080689542505,5.325853585046822,4.697392771690776,0.9863333333333333,0.010666666666666666,0.025333333333333333,1.0,0.7806666666666666,0.8743333333333333,10
0.25,0.88080689542505,5.166696495125465,4.711160103617704,0.9883333333333333,0.011666666666666667,0.022333333333333334,1.0,0.8113333333333334,0.8793333333333333,11
0.25,0.88080689542505,5.322996642960961,4.80981105100766,0.9876666666666667,0.008333333333333333,0.020666666666666667,1.0,0.7726666666666666,0.8576666666666667,12
0.25,0.88080689542505,5.186661788622733,4.692528642201914,0.986,0.014333333333333333,0.034,1.0,0.8126666666666666,0.8766666666666667,13
0.25,0.88080689542505,5.366692346869902,4.751799525233713,0.989,0.010666666666666666,0.023666666666666666,1.0,0.7643333333333333,0.8653333333333333,14
0.25,0.88080689542505,5.253188266565725,4.746234097141233,0.9886666666666667,0.010333333333333333,0.029,1.0,0.797,0.8696666666666667,15
0.25,0.88080689542505,5.302586623591859,4.719942243555578,0.9843333333333333,0.009333333333333334,0.023333333333333334,1.0,0.78,0.8743333333333333,16
0.25,0.88080689542505,5.15751796481299,4.728952434765654,0.9883333333333333,0.011333333333333334,0.027,1.0,0.816,0.872,17
0.25,0.88080689542505,5.352160523868261,4.741655703773539,0.983,0.011333333333333334,0.027333333333333334,1.0,0.7736666666666666,0.8683333333333333,18
0.25,0.88080689542505,5.1781672292317875,4.72147036431242,0.989,0.014,0.025,1.0,0.7956666666666666,0.8673333333333333,19
0.25,0.88080689542505,5.259122991024799,4.722099866742131,0.985,0.011,0.029333333333333333,1.0,0.7883333333333333,0.8743333333333333,20
0.25,0.88080689542505,5.348214253948672,4.7902460041642065,0.99,0.011,0.023666666666666666,1.0,0.776,0.8576666666666667,21
0.25,0.88080689542505,5.346897043838407,4.736815327686314,0.9876666666666667,0.013,0.03666666666666667,1.0,0.783,0.8693333333333333,22
0.25,0.88080689542505,5.504265640001917,4.842052437842881,0.9853333333333333,0.008,0.022,1.0,0.755,0.856,23
0.25,0.88080689542505,5.408433948721765,4.794668735897899,0.985,0.008333333333333333,0.023333333333333334,1.0,0.773,0.867,24
0.25,0.88080689542505,5.417595347505185,4.768712633533501,0.9873333333333333,0.011333333333333334,0.022333333333333334,1.0,0.765,0.858,25
0.25,0.88080689542505,5.370942757815798,4.778661228500386,0.9903333333333333,0.008666666666666666,0.018,1.0,0.7693333333333333,0.867,26
0.25,0.88080689542505,5.148095120583458,4.733849220570248,0.987,0.011666666666666667,0.024,1.0,0.8216666666666667,0.8716666666666667,27
0.25,0.88080689542505,5.507207122393193,4.870232863821826,0.9856666666666667,0.006333333333333333,0.02,1.0,0.7523333333333333,0.8553333333333333,28
0.25,0.88080689542505,5.325382427067142,4.794639310474688,0.9866666666666667,0.006666666666666667,0.021666666666666667,1.0,0.7826666666666666,0.8616666666666667,29
0.3,0.88080689542505,7.717296552580191,6.79006173926123,0.9986666666666667,0.010666666666666666,0.024333333333333332,1.0,0.5276666666666666,0.6743333333333333,0
0.3,0.88080689542505,7.84477306067038,6.868392714557666,0.998,0.010666666666666666,0.026,1.0,0.487,0.6333333333333333,1
