graph_type,weight_mode,n,noise_model,sigma,amplitude,repetition,mean_degree,degree_cv,trace_L,trace_L2,lambda2_L,lambda_max_L,mean_variance,variance_cv,mean_abs_correlation,sigma_condition_number,theoretical_mean_q,spectral_mean_q,mean_q_relative_difference,theoretical_var_q,spectral_var_q,var_q_relative_difference,tau_empirical,tau_spectral,tau_relative_error,pfa_mc_emp_tau,pfa_mc_spec_tau,pfa_theory_emp_tau,pfa_theory_spec_tau,pd_mc_emp_tau,pd_theory_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_theory_spec_tau,pd_error_spec_tau,max_abs_constant_shift,mean_abs_constant_shift,mean_max_noncentrality
star,unweighted,15,heteroscedastic,0.15,3.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.02250000000000001,0.4681936683955388,0.0,5.444444444444444,0.5015670684790974,0.5015670684790973,-2.213508610108091e-16,0.09703577056868282,0.09703577056868282,0.0,1.629642576020048,1.6589276736063385,0.017970258029101925,0.0122,0.0112,0.010858552114114683,0.010000000055310876,1.0,0.9999999999635467,3.6453284835147315e-11,1.0,0.9999999999640196,3.598044084895946e-11,0.0,0.0,319.6011366062975
star,unweighted,15,heteroscedastic,0.15,1.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000006,0.4681936683955388,0.0,5.444444444444444,0.7932418568863813,0.7932418568863812,-1.399602170494361e-16,0.5402368976686335,0.5402368976686337,4.1101340149711026e-16,3.922154958583103,3.6904560858522024,-0.05907438007360192,0.0086,0.0114,0.007764347277191996,0.01000000001406437,0.0888,0.09659436098312649,-0.007794360983126483,0.097,0.10478594727490993,-0.0077859472749099295,0.0,0.0,35.031544029344715
star,unweighted,15,heteroscedastic,0.15,1.75,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000006,0.4681936683955388,0.0,5.444444444444444,0.7932418568863813,0.7932418568863812,-1.399602170494361e-16,0.5402368976686335,0.5402368976686337,4.1101340149711026e-16,3.922154958583103,3.6904560858522024,-0.05907438007360192,0.0086,0.0114,0.007764347277191996,0.01000000001406437,0.406,0.4059877015196981,1.2298480301931036e-05,0.4984,0.4974793827702374,0.0009206172297626103,0.0,0.0,107.28410358986821
star,unweighted,15,heteroscedastic,0.15,3.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000006,0.4681936683955388,0.0,5.444444444444444,0.7932418568863813,0.7932418568863812,-1.399602170494361e-16,0.5402368976686335,0.5402368976686337,4.1101340149711026e-16,3.922154958583103,3.6904560858522024,-0.05907438007360192,0.0086,0.0114,0.007764347277191996,0.01000000001406437,1.0,0.9999999840446626,1.5955337384632173e-08,1.0,0.999999996889135,3.1108650100364343e-09,0.0,0.0,315.2838962641025
star,unweighted,15,heteroscedastic,0.15,1.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022499999999999996,0.46819366839553883,0.0,5.444444444444444,0.5537804565273144,0.5537804565273147,4.0096143211236504e-16,0.14781688811870064,0.14781688811870072,5.63309970238458e-16,1.885151842351118,2.018679500652006,0.07083124833825352,0.0138,0.0108,0.013419834931419516,0.010000000026180622,0.2682,0.26116662335833163,0.007033376641668365,0.2166,0.2138338687657403,0.0027661312342597,0.0,0.0,34.58058635548847
star,unweighted,15,heteroscedastic,0.15,1.75,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022499999999999996,0.46819366839553883,0.0,5.444444444444444,0.5537804565273144,0.5537804565273147,4.0096143211236504e-16,0.14781688811870064,0.14781688811870072,5.63309970238458e-16,1.885151842351118,2.018679500652006,0.07083124833825352,0.0138,0.0108,0.013419834931419516,0.010000000026180622,0.9978,0.997669877369265,0.00013012263073497454,0.9942,0.9951533685217512,-0.0009533685217512078,0.0,0.0,105.90304571368347
star,unweighted,15,heteroscedastic,0.15,3.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022499999999999996,0.46819366839553883,0.0,5.444444444444444,0.5537804565273144,0.5537804565273147,4.0096143211236504e-16,0.14781688811870064,0.14781688811870072,5.63309970238458e-16,1.885151842351118,2.018679500652006,0.07083124833825352,0.0138,0.0108,0.013419834931419516,0.010000000026180622,1.0,0.9999999999794036,2.0596413463636054e-11,1.0,0.9999999999792857,2.0714319148851246e-11,0.0,0.0,311.22527719939626
star,unweighted,15,heteroscedastic,0.3,1.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,0.4681936683955389,0.0,5.444444444444444,3.1729674275455246,3.1729674275455246,0.0,8.643790362698137,8.64379036269814,2.0550670074855508e-16,15.052993978629635,14.761825545258235,-0.019342891771880373,0.0116,0.0118,0.009234268948352775,0.009999999921216418,0.0436,0.04618325706896683,-0.0025832570689668308,0.0452,0.047938067305325495,-0.002738067305325498,0.0,0.0,8.757886007336195
star,unweighted,15,heteroscedastic,0.3,1.75,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,0.4681936683955389,0.0,5.444444444444444,3.1729674275455246,3.1729674275455246,0.0,8.643790362698137,8.64379036269814,2.0550670074855508e-16,15.052993978629635,14.761825545258235,-0.019342891771880373,0.0116,0.0118,0.009234268948352775,0.009999999921216418,0.0918,0.09120854636574889,0.0005914536342511156,0.093,0.09336672251910741,-0.0003667225191074097,0.0,0.0,26.8210258974671
star,unweighted,15,heteroscedastic,0.3,3.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,0.4681936683955389,0.0,5.444444444444444,3.1729674275455246,3.1729674275455246,0.0,8.643790362698137,8.64379036269814,2.0550670074855508e-16,15.052993978629635,14.761825545258235,-0.019342891771880373,0.0116,0.0118,0.009234268948352775,0.009999999921216418,0.2232,0.2274120876675302,-0.004212087667530201,0.2356,0.24021075086029323,-0.004610750860293222,0.0,0.0,78.82097406602576
