graph_type,weight_mode,n,noise_model,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_mc_emp_mean,pfa_mc_spec_mean,pfa_theory_emp_mean,pfa_theory_spec_mean,pd_mc_emp_mean,pd_theory_emp_mean,pd_mc_spec_mean,pd_theory_spec_mean,variance_cv_mean,mean_abs_correlation_mean,sigma_condition_number_mean,max_abs_constant_shift
barabasi_albert,unweighted,30,heteroscedastic,0.3,1.75,28.497005523664455,29.278533497441156,0.028631279167283415,0.011533333333333333,0.0092,0.012830830073267943,0.010000000043385582,0.4754,0.4758199950562188,0.4444666666666666,0.4435802502255954,0.45434452223505734,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,30,heteroscedastic,0.3,3.0,28.497005523664455,29.278533497441156,0.028631279167283415,0.011533333333333333,0.0092,0.012830830073267943,0.010000000043385582,0.976,0.9757057160144336,0.9730666666666666,0.9720768632514738,0.45434452223505734,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,30,iid,0.15,1.0,7.064017529188594,7.035738269345377,-0.00395866551622183,0.008933333333333333,0.0094,0.009655592220749576,0.009999999999898904,0.6459333333333334,0.6469864145100009,0.6499333333333334,0.6516682085289874,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,30,iid,0.15,1.75,7.064017529188594,7.035738269345377,-0.00395866551622183,0.008933333333333333,0.0094,0.009655592220749576,0.009999999999898904,0.9930666666666667,0.9926084381132306,0.9928666666666667,0.992470476606996,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,30,iid,0.15,3.0,7.064017529188594,7.035738269345377,-0.00395866551622183,0.008933333333333333,0.0094,0.009655592220749576,0.009999999999898904,1.0,0.9999999447249422,1.0,0.999999926989287,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,30,iid,0.3,1.0,27.580400405505873,28.128633708095297,0.019864752858750695,0.013133333333333332,0.011066666666666667,0.011988777081007559,0.00999999999989202,0.1246,0.12537323758612665,0.11366666666666665,0.11403018174135249,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,30,iid,0.3,1.75,27.580400405505873,28.128633708095297,0.019864752858750695,0.013133333333333332,0.011066666666666667,0.011988777081007559,0.00999999999989202,0.5153333333333333,0.5172425068683206,0.4925333333333333,0.4947559079610128,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,30,iid,0.3,3.0,27.580400405505873,28.128633708095297,0.019864752858750695,0.013133333333333332,0.011066666666666667,0.011988777081007559,0.00999999999989202,0.9820000000000001,0.9828329295116246,0.9794,0.9804549294515587,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,60,correlated,0.15,1.0,10.92738430742832,10.917857240433898,-0.0008162065920150492,0.009066666666666667,0.008733333333333334,0.00996408167184537,0.010000000042682996,0.49933333333333335,0.4974191094805936,0.5002666666666666,0.4988374120202747,0.031054798482740942,0.02960698178218596,5.6959949432257675,0.0
barabasi_albert,unweighted,60,correlated,0.15,1.75,10.92738430742832,10.917857240433898,-0.0008162065920150492,0.009066666666666667,0.008733333333333334,0.00996408167184537,0.010000000042682996,0.9977333333333332,0.9974010801356951,0.9975999999999999,0.9974102935436496,0.031054798482740942,0.02960698178218596,5.6959949432257675,0.0
