graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,actual_anomaly_degree,min_degree,max_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,observed_pd,gesnr,predicted_pd,residual,repetition
star,15,0.15,1.25,14,1.8666666666666667,1.7886666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4196903387378024,0.012333333333333333,0.3313333333333333,5.941564332590258,0.862041573191857,-0.5307082398585237,22
star,15,0.15,1.25,14,1.8666666666666667,1.858,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.461407385435683,0.012333333333333333,0.31733333333333336,5.941564332590258,0.862041573191857,-0.5447082398585237,23
star,15,0.15,1.25,14,1.8666666666666667,1.832,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.692107552127681,0.006333333333333333,0.23066666666666666,5.941564332590258,0.862041573191857,-0.6313749065251903,24
star,15,0.15,1.25,14,1.8666666666666667,1.8146666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3849307137098372,0.014666666666666666,0.3433333333333333,5.941564332590258,0.862041573191857,-0.5187082398585237,25
star,15,0.15,1.25,14,1.8666666666666667,1.7583333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3901114962100247,0.015333333333333332,0.337,5.941564332590258,0.862041573191857,-0.525041573191857,26
star,15,0.15,1.25,14,1.8666666666666667,1.8406666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.635218129261576,0.01,0.244,5.941564332590258,0.862041573191857,-0.618041573191857,27
star,15,0.15,1.25,14,1.8666666666666667,1.8883333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.657588473390064,0.006666666666666667,0.24966666666666668,5.941564332590258,0.862041573191857,-0.6123749065251903,28
star,15,0.15,1.25,14,1.8666666666666667,1.936,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.605449516365215,0.011333333333333334,0.2703333333333333,5.941564332590258,0.862041573191857,-0.5917082398585237,29
star,15,0.15,1.75,14,1.8666666666666667,1.8233333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.567665771033464,0.01,0.9556666666666667,11.645466091876907,0.9722295085819187,-0.016562841915252036,0
star,15,0.15,1.75,14,1.8666666666666667,1.9056666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.53710739597742,0.012333333333333333,0.9563333333333334,11.645466091876907,0.9722295085819187,-0.01589617524858533,1
star,15,0.15,1.75,14,1.8666666666666667,1.8926666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.461275696746589,0.009666666666666667,0.9716666666666667,11.645466091876907,0.9722295085819187,-0.0005628419152520214,2
star,15,0.15,1.75,14,1.8666666666666667,1.936,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4597299627568376,0.012333333333333333,0.968,11.645466091876907,0.9722295085819187,-0.004229508581918728,3
star,15,0.15,1.75,14,1.8666666666666667,1.8233333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5728862679398206,0.011,0.9583333333333334,11.645466091876907,0.9722295085819187,-0.01389617524858533,4
star,15,0.15,1.75,14,1.8666666666666667,1.884,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.626743244558899,0.008666666666666666,0.937,11.645466091876907,0.9722295085819187,-0.035229508581918645,5
star,15,0.15,1.75,14,1.8666666666666667,1.9273333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5296560633090848,0.008666666666666666,0.9563333333333334,11.645466091876907,0.9722295085819187,-0.01589617524858533,6
star,15,0.15,1.75,14,1.8666666666666667,1.9013333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.600721001859836,0.007666666666666666,0.9433333333333334,11.645466091876907,0.9722295085819187,-0.028896175248585343,7
star,15,0.15,1.75,14,1.8666666666666667,1.962,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5708101651574964,0.009,0.9493333333333334,11.645466091876907,0.9722295085819187,-0.022896175248585338,8
star,15,0.15,1.75,14,1.8666666666666667,1.8233333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.530689926148348,0.012,0.959,11.645466091876907,0.9722295085819187,-0.013229508581918736,9
star,15,0.15,1.75,14,1.8666666666666667,1.9186666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4986897777688926,0.007666666666666666,0.9603333333333334,11.645466091876907,0.9722295085819187,-0.011896175248585328,10
star,15,0.15,1.75,14,1.8666666666666667,1.871,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.561937729075402,0.011333333333333334,0.9516666666666667,11.645466091876907,0.9722295085819187,-0.02056284191525204,11
star,15,0.15,1.75,14,1.8666666666666667,1.845,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5720207161972133,0.010333333333333333,0.9426666666666667,11.645466091876907,0.9722295085819187,-0.029562841915252047,12
star,15,0.15,1.75,14,1.8666666666666667,1.8146666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5045297725054754,0.009,0.9613333333333334,11.645466091876907,0.9722295085819187,-0.010896175248585327,13
star,15,0.15,1.75,14,1.8666666666666667,1.923,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.490406578773709,0.009666666666666667,0.9666666666666667,11.645466091876907,0.9722295085819187,-0.005562841915252026,14
star,15,0.15,1.75,14,1.8666666666666667,1.8363333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4612009062312263,0.008333333333333333,0.966,11.645466091876907,0.9722295085819187,-0.00622950858191873,15
star,15,0.15,1.75,14,1.8666666666666667,1.9316666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5063126117961607,0.013333333333333334,0.9633333333333334,11.645466091876907,0.9722295085819187,-0.008896175248585325,16
star,15,0.15,1.75,14,1.8666666666666667,1.9316666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6205678202470923,0.007,0.9293333333333333,11.645466091876907,0.9722295085819187,-0.042896175248585355,17
star,15,0.15,1.75,14,1.8666666666666667,1.8796666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6364275119199423,0.011333333333333334,0.9373333333333334,11.645466091876907,0.9722295085819187,-0.03489617524858535,18
star,15,0.15,1.75,14,1.8666666666666667,1.858,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.571763844841061,0.011,0.951,11.645466091876907,0.9722295085819187,-0.021229508581918743,19
star,15,0.15,1.75,14,1.8666666666666667,1.8796666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4701190848319734,0.01,0.96,11.645466091876907,0.9722295085819187,-0.012229508581918735,20
star,15,0.15,1.75,14,1.8666666666666667,1.9013333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5205082696396537,0.009666666666666667,0.956,11.645466091876907,0.9722295085819187,-0.01622950858191874,21
star,15,0.15,1.75,14,1.8666666666666667,1.8753333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.771033096819471,0.007333333333333333,0.8966666666666666,11.645466091876907,0.9722295085819187,-0.07556284191525209,22
star,15,0.15,1.75,14,1.8666666666666667,1.91,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5457231202324637,0.010333333333333333,0.956,11.645466091876907,0.9722295085819187,-0.01622950858191874,23
star,15,0.15,1.75,14,1.8666666666666667,1.8276666666666668,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4295852073492505,0.009666666666666667,0.9646666666666667,11.645466091876907,0.9722295085819187,-0.007562841915252028,24
star,15,0.15,1.75,14,1.8666666666666667,1.819,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4970867619026933,0.012,0.962,11.645466091876907,0.9722295085819187,-0.010229508581918734,25
star,15,0.15,1.75,14,1.8666666666666667,1.7843333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3605955488631793,0.015333333333333332,0.9823333333333333,11.645466091876907,0.9722295085819187,0.01010382475141458,26
star,15,0.15,1.75,14,1.8666666666666667,1.8103333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.508881926773174,0.007666666666666666,0.9603333333333334,11.645466091876907,0.9722295085819187,-0.011896175248585328,27
star,15,0.15,1.75,14,1.8666666666666667,1.8926666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.565788037864394,0.007666666666666666,0.9553333333333334,11.645466091876907,0.9722295085819187,-0.016896175248585332,28
star,15,0.15,1.75,14,1.8666666666666667,1.858,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3943221445311407,0.013333333333333334,0.98,11.645466091876907,0.9722295085819187,0.007770491418081282,29
star,15,0.15,2.5,14,1.8666666666666667,1.8666666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6466288185495532,0.008333333333333333,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,0
star,15,0.15,2.5,14,1.8666666666666667,1.9576666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.7088462923288406,0.009333333333333334,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,1
star,15,0.15,2.5,14,1.8666666666666667,1.8233333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4858699104217736,0.011,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,2
star,15,0.15,2.5,14,1.8666666666666667,1.832,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.565761971233949,0.013666666666666667,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,3
star,15,0.15,2.5,14,1.8666666666666667,1.8926666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.524588729448779,0.012333333333333333,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,4
star,15,0.15,2.5,14,1.8666666666666667,1.9273333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4144644820075754,0.010333333333333333,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,5
star,15,0.15,2.5,14,1.8666666666666667,1.962,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.507516090831091,0.009666666666666667,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,6
star,15,0.15,2.5,14,1.8666666666666667,1.8883333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5001454030778967,0.012666666666666666,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,7
