graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95
grid,80,0.3,1.5,142.0,0.0,3.5499999999999994,1.9968686188423001e-16,3.54615,0.004987470849406979,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692005e-16,37.620085105081685,0.22513620959708386,0.011025000000000002,0.0013479805363267637,0.23645,0.011498752142824248
grid,80,0.3,2.0,142.0,0.0,3.5499999999999994,1.9968686188423001e-16,3.5498999999999996,0.0063457912450943215,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692005e-16,37.795914846509056,0.24612658247009503,0.0105,0.0013281954516917817,0.5854250000000001,0.014225069958203706
grid,80,0.3,3.0,142.0,0.0,3.5499999999999994,1.9968686188423001e-16,3.5465999999999993,0.006138900227239422,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692005e-16,37.67195103789205,0.15847578198758566,0.010325,0.0009385703293615746,0.982375,0.0019688451731381747
path,10,0.1,0.5,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7998749999999997,0.0039806994558613355,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,0.5041214076565036,0.004632944367593193,0.010775000000000002,0.0008027157522730998,0.6380500000000001,0.009003460960272882
path,10,0.1,1.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7975249999999998,0.0038690408100036486,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,0.5086815689158358,0.007840272348165991,0.009475,0.0014192203011364707,0.999475,0.00021884613676952694
path,10,0.1,1.5,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.8011000000000004,0.003087266070404958,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,0.5062449375463546,0.010322892688816566,0.010475000000000002,0.0015106579082603292,1.0,0.0
path,10,0.1,2.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.8009499999999998,0.004100188930178448,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,0.49925697506586236,0.00686462632373527,0.010525000000000001,0.001093306404781771,1.0,0.0
path,10,0.1,3.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.80185,0.0036036265651496944,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,0.49560788983987225,0.006664430196781689,0.011500000000000002,0.001297392526732389,1.0,0.0
path,10,0.2,0.5,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7982749999999996,0.004413422940601941,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,2.018930175934063,0.026241047935446838,0.010525000000000001,0.0010604492344979876,0.09897500000000001,0.0044413943934191145
path,10,0.2,1.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.799,0.004054380866485814,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,2.0171689252267795,0.030368799110614346,0.010075,0.0013287186348231576,0.6378000000000001,0.013366439151058413
