graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,mean_anomaly_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,pd,repetition
path,10,0.2,1.5,9,1.8,1.7915,18.0,52.0,0.09788696740969276,3.902113032590307,1.9080699381589028,0.0155,0.977,3
path,10,0.2,1.5,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,1.9044449829111125,0.014,0.9735,4
path,10,0.2,1.5,9,1.8,1.787,18.0,52.0,0.09788696740969276,3.902113032590307,2.162664225338991,0.0095,0.9515,5
path,10,0.2,1.5,9,1.8,1.804,18.0,52.0,0.09788696740969276,3.902113032590307,1.9757329750574135,0.007,0.969,6
path,10,0.2,1.5,9,1.8,1.8015,18.0,52.0,0.09788696740969276,3.902113032590307,2.0816518614257715,0.0105,0.9635,7
path,10,0.2,1.5,9,1.8,1.804,18.0,52.0,0.09788696740969276,3.902113032590307,2.050495556904833,0.008,0.969,8
path,10,0.2,1.5,9,1.8,1.798,18.0,52.0,0.09788696740969276,3.902113032590307,1.8628844122452313,0.019,0.9775,9
path,10,0.2,1.5,9,1.8,1.7885,18.0,52.0,0.09788696740969276,3.902113032590307,2.075558468986665,0.008,0.9645,10
path,10,0.2,1.5,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,2.036658628351062,0.0105,0.9585,11
path,10,0.2,1.5,9,1.8,1.803,18.0,52.0,0.09788696740969276,3.902113032590307,2.0619903445014547,0.011,0.966,12
path,10,0.2,1.5,9,1.8,1.8,18.0,52.0,0.09788696740969276,3.902113032590307,1.9924542865956978,0.009,0.9655,13
path,10,0.2,1.5,9,1.8,1.806,18.0,52.0,0.09788696740969276,3.902113032590307,1.976473748599869,0.009,0.973,14
path,10,0.2,1.5,9,1.8,1.808,18.0,52.0,0.09788696740969276,3.902113032590307,1.9628834478136883,0.0085,0.9675,15
path,10,0.2,1.5,9,1.8,1.7865,18.0,52.0,0.09788696740969276,3.902113032590307,1.9640891802855163,0.0105,0.9685,16
path,10,0.2,1.5,9,1.8,1.8135,18.0,52.0,0.09788696740969276,3.902113032590307,1.9918222459693622,0.01,0.969,17
path,10,0.2,1.5,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,2.041893188827964,0.0105,0.966,18
path,10,0.2,1.5,9,1.8,1.791,18.0,52.0,0.09788696740969276,3.902113032590307,1.9751325193645983,0.015,0.959,19
path,10,0.2,2.0,9,1.8,1.807,18.0,52.0,0.09788696740969276,3.902113032590307,2.0307449038944068,0.012,1.0,0
path,10,0.2,2.0,9,1.8,1.795,18.0,52.0,0.09788696740969276,3.902113032590307,1.9914685579739753,0.008,0.9995,1
path,10,0.2,2.0,9,1.8,1.7865,18.0,52.0,0.09788696740969276,3.902113032590307,2.117824639312166,0.009,1.0,2
path,10,0.2,2.0,9,1.8,1.798,18.0,52.0,0.09788696740969276,3.902113032590307,1.8988918085713642,0.0155,0.9995,3
path,10,0.2,2.0,9,1.8,1.792,18.0,52.0,0.09788696740969276,3.902113032590307,2.0601122046509452,0.006,0.9995,4
path,10,0.2,2.0,9,1.8,1.798,18.0,52.0,0.09788696740969276,3.902113032590307,2.063298696350992,0.008,0.9985,5
path,10,0.2,2.0,9,1.8,1.809,18.0,52.0,0.09788696740969276,3.902113032590307,2.0273166223077737,0.009,1.0,6
path,10,0.2,2.0,9,1.8,1.787,18.0,52.0,0.09788696740969276,3.902113032590307,1.9444749855154617,0.0145,0.9995,7
path,10,0.2,2.0,9,1.8,1.7955,18.0,52.0,0.09788696740969276,3.902113032590307,1.983698670655299,0.0115,1.0,8
path,10,0.2,2.0,9,1.8,1.812,18.0,52.0,0.09788696740969276,3.902113032590307,2.0089454215498592,0.0095,1.0,9
path,10,0.2,2.0,9,1.8,1.7945,18.0,52.0,0.09788696740969276,3.902113032590307,1.9659661058411966,0.0115,1.0,10
path,10,0.2,2.0,9,1.8,1.783,18.0,52.0,0.09788696740969276,3.902113032590307,2.0244352685253304,0.0045,0.9995,11
path,10,0.2,2.0,9,1.8,1.7955,18.0,52.0,0.09788696740969276,3.902113032590307,1.9838210049815819,0.0105,0.9995,12
path,10,0.2,2.0,9,1.8,1.795,18.0,52.0,0.09788696740969276,3.902113032590307,1.9253445039278998,0.0155,0.9995,13
path,10,0.2,2.0,9,1.8,1.804,18.0,52.0,0.09788696740969276,3.902113032590307,1.932909716402575,0.0135,1.0,14
path,10,0.2,2.0,9,1.8,1.7995,18.0,52.0,0.09788696740969276,3.902113032590307,2.052408771647314,0.0075,0.9995,15
path,10,0.2,2.0,9,1.8,1.7845,18.0,52.0,0.09788696740969276,3.902113032590307,1.9328191241005817,0.016,1.0,16
path,10,0.2,2.0,9,1.8,1.7925,18.0,52.0,0.09788696740969276,3.902113032590307,2.08077900578781,0.009,0.9995,17
path,10,0.2,2.0,9,1.8,1.813,18.0,52.0,0.09788696740969276,3.902113032590307,1.974344620994855,0.009,1.0,18
path,10,0.2,2.0,9,1.8,1.8085,18.0,52.0,0.09788696740969276,3.902113032590307,1.8468062169107453,0.021,1.0,19
path,10,0.2,3.0,9,1.8,1.786,18.0,52.0,0.09788696740969276,3.902113032590307,2.058917302149099,0.01,1.0,0
path,10,0.2,3.0,9,1.8,1.7905,18.0,52.0,0.09788696740969276,3.902113032590307,1.9891405684459915,0.0115,1.0,1
