graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95,gesnr,log_gesnr,pd_predicted,residual,abs_residual
grid,10,0.3,0.5,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.597725,0.0056397522295333,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,6.261360395759619,0.0922220151009406,0.01145,0.0014843718501351,0.041425,0.003214540738254,0.515421626984127,-0.6627700200917949,0.01179620165542802,0.029628798344571976,0.029628798344571976
grid,10,0.3,1.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.5992999999999995,0.0071406689057155,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,6.332617109237027,0.106302547258675,0.010625,0.001451617518857,0.23185,0.012371250041081,2.0629365079365076,0.7241304570457089,0.2938918436138482,-0.06204184361384818,0.06204184361384818
grid,10,0.3,1.5,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.5979750000000004,0.0067875822336784,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,6.374778394220303,0.1019208900118452,0.0106,0.0017452748840949,0.6648499999999999,0.012625235722656,4.639241071428573,1.5345507906682918,0.7683034293610794,-0.10345342936107949,0.10345342936107949
grid,10,0.3,2.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.60495,0.0065555218829544,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,6.358986031043544,0.0993276562142654,0.010875,0.0011830174399212,0.9486,0.0043830392243402,8.26968253968254,2.1125961213196645,0.9357764274114945,0.012823572588505527,0.012823572588505527
grid,10,0.3,3.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.60495,0.0057636121532101,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,6.304056109032195,0.109275050204647,0.0116,0.001941342780004,0.99995,6.744822575793773e-05,18.606785714285714,2.9235263375359932,0.9914702144552267,0.008479785544773355,0.008479785544773355
grid,20,0.1,0.5,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.0977500000000004,0.0070258118841582,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,1.28347867061222,0.0152213968250377,0.012975,0.0017566418171284,0.551175,0.0139183017925849,3.3703066171047684,1.215003724529535,0.5939851517912944,-0.04281015179129444,0.04281015179129444
grid,20,0.1,1.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.09945,0.0068200574005918,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,1.2741980646483877,0.0137908857152772,0.0123,0.0013422027456857,0.9998,0.000165213737163,13.48862476879719,2.601846720530547,0.9807701082490218,0.019029891750978245,0.019029891750978245
grid,20,0.1,1.5,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.0985500000000004,0.0052721430577188,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,1.292645312875639,0.0136049863554848,0.010925,0.0016540866616385,1.0,0.0,30.34059304846092,3.4124865204815236,0.9975464111350282,0.002453588864971823,0.002453588864971823
grid,20,0.1,2.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.104375,0.0061800452859863,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,1.297608828275679,0.015713750907198,0.010275,0.0018870441798861,1.0,0.0,54.04023232074694,3.989728812134329,0.9994393991386278,0.000560600861372218,0.000560600861372218
grid,20,0.1,3.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.101125,0.0050121263215483,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,1.2910142055029674,0.0177739110524338,0.009925,0.0016371928960716,1.0,0.0,121.46322843576301,4.799611570354638,0.9999295034809311,7.049651906887444e-05,7.049651906887444e-05
grid,20,0.2,0.5,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.1004499999999995,0.0072893681626411,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,5.154260672850528,0.0614172337845762,0.010275,0.0013423439632931,0.070075,0.0046914511894676,0.843311044387255,-0.17041941585827836,0.04041472336869826,0.02966027663130174,0.02966027663130174
grid,20,0.2,1.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.1017750000000004,0.0087018595078716,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,5.241327873203279,0.0539137597373318,0.0085,0.0011308618045776,0.522125,0.0137820995936949,3.374685758137404,1.2163022112895805,0.5947868153583208,-0.07266181535832084,0.07266181535832084
