graph_type,n,noise_model,sigma,amplitude,pattern,repetition,detector,signal_location,alpha,threshold,pfa,pd,mean_degree,degree_cv,trace_L,trace_L2,lambda2,lambda_max,signal_norm,signal_euclidean_energy,signal_graph_energy,signal_mahalanobis_energy,signal_max_abs,rayleigh_quotient
barabasi_albert,40,correlated,0.3,1.5,edge_bipolar,1,euclidean,6-20,0.01,5.9486483023149805,0.0128,0.4418,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,1.4999999999999998,2.2499999999999996,16.874999999999996,33.76210526603669,1.0606601717798212,7.5
barabasi_albert,40,correlated,0.3,1.5,edge_bipolar,1,max_abs,6-20,0.01,1.10140902142449,0.01,0.7275,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,1.4999999999999998,2.2499999999999996,16.874999999999996,33.76210526603669,1.0606601717798212,7.5
barabasi_albert,40,correlated,0.3,1.5,edge_bipolar,1,mahalanobis,6-20,0.01,63.457969234644125,0.0102,0.7471,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,1.4999999999999998,2.2499999999999996,16.874999999999996,33.76210526603669,1.0606601717798212,7.5
barabasi_albert,40,correlated,0.3,1.5,high_frequency,1,laplacian,lambda_max,0.01,28.245265798439437,0.0106,0.9804,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,1.5,2.25,34.991305675184904,35.4286861061595,1.3081111785443416,15.551691411193291
barabasi_albert,40,correlated,0.3,1.5,high_frequency,1,euclidean,lambda_max,0.01,5.9486483023149805,0.0128,0.4434,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,1.5,2.25,34.991305675184904,35.4286861061595,1.3081111785443416,15.551691411193291
barabasi_albert,40,correlated,0.3,1.5,high_frequency,1,max_abs,lambda_max,0.01,1.10140902142449,0.01,0.769,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,1.5,2.25,34.991305675184904,35.4286861061595,1.3081111785443416,15.551691411193291
barabasi_albert,40,correlated,0.3,1.5,high_frequency,1,mahalanobis,lambda_max,0.01,63.457969234644125,0.0102,0.7841,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,1.5,2.25,34.991305675184904,35.4286861061595,1.3081111785443416,15.551691411193291
barabasi_albert,40,correlated,0.3,3.0,constant,1,laplacian,all,0.01,28.245265798439437,0.0106,0.0102,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999996,-7.372750284011072e-16,39.33547974378281,0.4743416490252569,-8.191944760012305e-17
barabasi_albert,40,correlated,0.3,3.0,constant,1,euclidean,all,0.01,5.9486483023149805,0.0128,0.9955,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999996,-7.372750284011072e-16,39.33547974378281,0.4743416490252569,-8.191944760012305e-17
barabasi_albert,40,correlated,0.3,3.0,constant,1,max_abs,all,0.01,1.10140902142449,0.01,0.4849,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999996,-7.372750284011072e-16,39.33547974378281,0.4743416490252569,-8.191944760012305e-17
barabasi_albert,40,correlated,0.3,3.0,constant,1,mahalanobis,all,0.01,63.457969234644125,0.0102,0.8518,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999996,-7.372750284011072e-16,39.33547974378281,0.4743416490252569,-8.191944760012305e-17
barabasi_albert,40,correlated,0.3,3.0,fiedler,1,laplacian,fiedler,0.01,28.245265798439437,0.0106,0.5521,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,12.773931716863512,62.95415457699268,1.2493257853168167,1.4193257463181683
barabasi_albert,40,correlated,0.3,3.0,fiedler,1,euclidean,fiedler,0.01,5.9486483023149805,0.0128,0.999,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,12.773931716863512,62.95415457699268,1.2493257853168167,1.4193257463181683
barabasi_albert,40,correlated,0.3,3.0,fiedler,1,max_abs,fiedler,0.01,1.10140902142449,0.01,0.936,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,12.773931716863512,62.95415457699268,1.2493257853168167,1.4193257463181683
barabasi_albert,40,correlated,0.3,3.0,fiedler,1,mahalanobis,fiedler,0.01,63.457969234644125,0.0102,0.9923,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,12.773931716863512,62.95415457699268,1.2493257853168167,1.4193257463181683
barabasi_albert,40,correlated,0.3,3.0,cluster,1,laplacian,36;8;22;31;39;0;1;4,0.01,28.245265798439437,0.0106,0.9967,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,37.125,74.99508774128991,1.0606601717798212,4.125000000000001
barabasi_albert,40,correlated,0.3,3.0,cluster,1,euclidean,36;8;22;31;39;0;1;4,0.01,5.9486483023149805,0.0128,0.9998,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,37.125,74.99508774128991,1.0606601717798212,4.125000000000001
barabasi_albert,40,correlated,0.3,3.0,cluster,1,max_abs,36;8;22;31;39;0;1;4,0.01,1.10140902142449,0.01,0.9757,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,37.125,74.99508774128991,1.0606601717798212,4.125000000000001
barabasi_albert,40,correlated,0.3,3.0,cluster,1,mahalanobis,36;8;22;31;39;0;1;4,0.01,63.457969234644125,0.0102,0.9986,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,37.125,74.99508774128991,1.0606601717798212,4.125000000000001
barabasi_albert,40,correlated,0.3,3.0,point,1,laplacian,35,0.01,28.245265798439437,0.0106,0.9943,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,27.0,116.83422287533233,3.0,3.0
barabasi_albert,40,correlated,0.3,3.0,point,1,euclidean,35,0.01,5.9486483023149805,0.0128,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,27.0,116.83422287533233,3.0,3.0
barabasi_albert,40,correlated,0.3,3.0,point,1,max_abs,35,0.01,1.10140902142449,0.01,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,27.0,116.83422287533233,3.0,3.0
barabasi_albert,40,correlated,0.3,3.0,point,1,mahalanobis,35,0.01,63.457969234644125,0.0102,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,27.0,116.83422287533233,3.0,3.0
barabasi_albert,40,correlated,0.3,3.0,edge_bipolar,1,laplacian,2-23,0.01,28.245265798439437,0.0106,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,67.49999999999999,133.81293018148523,2.1213203435596424,7.5
barabasi_albert,40,correlated,0.3,3.0,edge_bipolar,1,euclidean,2-23,0.01,5.9486483023149805,0.0128,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,67.49999999999999,133.81293018148523,2.1213203435596424,7.5
barabasi_albert,40,correlated,0.3,3.0,edge_bipolar,1,max_abs,2-23,0.01,1.10140902142449,0.01,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,67.49999999999999,133.81293018148523,2.1213203435596424,7.5
barabasi_albert,40,correlated,0.3,3.0,edge_bipolar,1,mahalanobis,2-23,0.01,63.457969234644125,0.0102,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,2.9999999999999996,8.999999999999998,67.49999999999999,133.81293018148523,2.1213203435596424,7.5
barabasi_albert,40,correlated,0.3,3.0,high_frequency,1,laplacian,lambda_max,0.01,28.245265798439437,0.0106,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,139.96522270073962,141.714744424638,2.616222357088683,15.551691411193291
barabasi_albert,40,correlated,0.3,3.0,high_frequency,1,euclidean,lambda_max,0.01,5.9486483023149805,0.0128,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,139.96522270073962,141.714744424638,2.616222357088683,15.551691411193291
barabasi_albert,40,correlated,0.3,3.0,high_frequency,1,max_abs,lambda_max,0.01,1.10140902142449,0.01,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,139.96522270073962,141.714744424638,2.616222357088683,15.551691411193291
barabasi_albert,40,correlated,0.3,3.0,high_frequency,1,mahalanobis,lambda_max,0.01,63.457969234644125,0.0102,1.0,5.55,0.507951544468845,222.0,1772.0,1.419325746318168,15.551691411193287,3.0,9.0,139.96522270073962,141.714744424638,2.616222357088683,15.551691411193291
barabasi_albert,40,correlated,0.3,0.75,constant,2,laplacian,all,0.01,30.568717415907773,0.0087,0.0102,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,1.9748438260743944e-17,2.6938944210509836,0.11858541225631422,3.5108334685767023e-17
barabasi_albert,40,correlated,0.3,0.75,constant,2,euclidean,all,0.01,6.040229722734236,0.0099,0.0661,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,1.9748438260743944e-17,2.6938944210509836,0.11858541225631422,3.5108334685767023e-17
barabasi_albert,40,correlated,0.3,0.75,constant,2,max_abs,all,0.01,1.0904083064158603,0.0112,0.0262,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,1.9748438260743944e-17,2.6938944210509836,0.11858541225631422,3.5108334685767023e-17
barabasi_albert,40,correlated,0.3,0.75,constant,2,mahalanobis,all,0.01,63.58991391857524,0.0105,0.0232,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,1.9748438260743944e-17,2.6938944210509836,0.11858541225631422,3.5108334685767023e-17
barabasi_albert,40,correlated,0.3,0.75,fiedler,2,laplacian,fiedler,0.01,30.568717415907773,0.0087,0.0133,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000001,0.5625000000000002,0.8183039181633124,4.0015123037173534,0.3270513325321864,1.4547625211792214
barabasi_albert,40,correlated,0.3,0.75,fiedler,2,euclidean,fiedler,0.01,6.040229722734236,0.0099,0.0544,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000001,0.5625000000000002,0.8183039181633124,4.0015123037173534,0.3270513325321864,1.4547625211792214
barabasi_albert,40,correlated,0.3,0.75,fiedler,2,max_abs,fiedler,0.01,1.0904083064158603,0.0112,0.0303,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000001,0.5625000000000002,0.8183039181633124,4.0015123037173534,0.3270513325321864,1.4547625211792214
barabasi_albert,40,correlated,0.3,0.75,fiedler,2,mahalanobis,fiedler,0.01,63.58991391857524,0.0105,0.0327,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000001,0.5625000000000002,0.8183039181633124,4.0015123037173534,0.3270513325321864,1.4547625211792214
barabasi_albert,40,correlated,0.3,0.75,cluster,2,laplacian,8;0;2;4;10;11;17;1,0.01,30.568717415907773,0.0087,0.0491,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,3.0937499999999996,5.167992573827183,0.2651650429449553,5.500000000000002
barabasi_albert,40,correlated,0.3,0.75,cluster,2,euclidean,8;0;2;4;10;11;17;1,0.01,6.040229722734236,0.0099,0.0496,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,3.0937499999999996,5.167992573827183,0.2651650429449553,5.500000000000002
barabasi_albert,40,correlated,0.3,0.75,cluster,2,max_abs,8;0;2;4;10;11;17;1,0.01,1.0904083064158603,0.0112,0.033,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,3.0937499999999996,5.167992573827183,0.2651650429449553,5.500000000000002
barabasi_albert,40,correlated,0.3,0.75,cluster,2,mahalanobis,8;0;2;4;10;11;17;1,0.01,63.58991391857524,0.0105,0.0425,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999998,3.0937499999999996,5.167992573827183,0.2651650429449553,5.500000000000002
barabasi_albert,40,correlated,0.3,0.75,point,2,laplacian,13,0.01,30.568717415907773,0.0087,0.0199,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.75,0.5625,2.25,7.197857152173841,0.75,4.0
