graph_type,n,noise_model,sigma,amplitude,pattern,signal_norm_mean,graph_energy_mean,rayleigh_mean,normalized_rayleigh_mean,pfa_mc_mean,pfa_theory_mean,pd_mc_mean,pd_theory_mean,theoretical_mean_shift_mean,empirical_mean_shift_mean
barabasi_albert,20,correlated,0.3,3.0,fiedler,3.0,12.808543717695937,1.4231715241884375,0.10659079452872404,0.01005,0.009999999994460607,0.81265,0.8132552939673043,12.808543717695937,12.842110721398095
barabasi_albert,20,correlated,0.3,3.0,high_frequency,3.0,122.71020426446438,13.634467140496042,1.0000000000000002,0.01005,0.009999999994460607,1.0,1.0,122.71020426446438,122.71667986494782
barabasi_albert,20,correlated,0.3,3.0,point,3.0,36.0,4.0,0.29685699277660704,0.01005,0.009999999994460607,0.9976,0.9976791363135976,36.0,35.930710767911606
barabasi_albert,20,iid,0.15,0.75,cluster,0.75,2.53125,4.5,0.31131790926995395,0.01025,0.00999999999772061,0.40585,0.40783665790439416,2.53125,2.5280088625306956
barabasi_albert,20,iid,0.15,0.75,constant,0.7499999999999999,4.1892763836047736e-17,7.44760245974182e-17,4.770100331151889e-18,0.01025,0.00999999999772061,0.00925,0.00999999999772061,4.1892763836047736e-17,-0.0043677881985207945
barabasi_albert,20,iid,0.15,0.75,edge_bipolar,0.7499999999999999,4.359374999999999,7.75,0.519735053471043,0.01025,0.00999999999772061,0.7278,0.7227836061847279,4.359374999999999,4.37569761076986
barabasi_albert,20,iid,0.15,0.75,fiedler,0.75,0.8420854554191194,1.49704080963399,0.10005738494944688,0.01025,0.00999999999772061,0.041749999999999995,0.04368576845167281,0.8420854554191194,0.838788912050562
barabasi_albert,20,iid,0.15,0.75,high_frequency,0.75,8.381056758824165,14.899656460131848,1.0000000000000002,0.01025,0.00999999999772061,0.97035,0.9702093601302141,8.381056758824165,8.387716942952924
barabasi_albert,20,iid,0.15,0.75,point,0.75,3.09375,5.5,0.3755890308299371,0.01025,0.00999999999772061,0.4696,0.47236188132154994,3.09375,3.0908034114474017
barabasi_albert,20,iid,0.15,1.5,cluster,1.5,11.25,5.0,0.33615757080719333,0.01025,0.00999999999772061,0.99865,0.9987569932107091,11.25,11.22223776104703
barabasi_albert,20,iid,0.15,1.5,constant,1.4999999999999998,1.6757105534419095e-16,7.44760245974182e-17,4.770100331151889e-18,0.01025,0.00999999999772061,0.009600000000000001,0.00999999999772061,1.6757105534419095e-16,0.00430877677344621
barabasi_albert,20,iid,0.15,1.5,edge_bipolar,1.4999999999999998,17.437499999999996,7.75,0.5229179226557215,0.01025,0.00999999999772061,1.0,0.9999996931815367,17.437499999999996,17.346317199365153
barabasi_albert,20,iid,0.15,1.5,fiedler,1.5,3.3683418216764776,1.49704080963399,0.10005738494944688,0.01025,0.00999999999772061,0.679,0.6768841541874308,3.3683418216764776,3.369476320017192
barabasi_albert,20,iid,0.15,1.5,high_frequency,1.5,33.52422703529666,14.899656460131848,1.0000000000000002,0.01025,0.00999999999772061,1.0,0.999999999989841,33.52422703529666,33.593451513258
barabasi_albert,20,iid,0.15,1.5,point,1.5,11.8125,5.25,0.3559137996285462,0.01025,0.00999999999772061,0.9989,0.9991881671299704,11.8125,11.838543703055581
barabasi_albert,20,iid,0.15,3.0,cluster,3.0,49.5,5.5,0.3730088159939658,0.01025,0.00999999999772061,1.0,1.0,49.5,49.492880860046114
barabasi_albert,20,iid,0.15,3.0,constant,2.9999999999999996,6.702842213767638e-16,7.44760245974182e-17,4.770100331151889e-18,0.01025,0.00999999999772061,0.0103,0.00999999999772061,6.702842213767638e-16,-0.007562402574959992
barabasi_albert,20,iid,0.15,3.0,edge_bipolar,2.9999999999999996,61.874999999999986,6.875,0.46990639837104375,0.01025,0.00999999999772061,1.0,0.9999999999999114,61.874999999999986,61.86607605788825
barabasi_albert,20,iid,0.15,3.0,fiedler,3.0,13.47336728670591,1.49704080963399,0.10005738494944688,0.01025,0.00999999999772061,1.0,0.9999999999938216,13.47336728670591,13.469808602377038
barabasi_albert,20,iid,0.15,3.0,high_frequency,3.0,134.09690814118665,14.899656460131848,1.0000000000000002,0.01025,0.00999999999772061,1.0,0.9999999999928052,134.09690814118665,134.06532522338284
barabasi_albert,20,iid,0.15,3.0,point,3.0,51.75,5.75,0.3978028907273835,0.01025,0.00999999999772061,1.0,0.9999999999950022,51.75,51.81235458488166
barabasi_albert,20,iid,0.3,0.75,cluster,0.75,2.8125,5.0,0.3930226005652842,0.0102,0.010000000015150043,0.06695,0.06482974330671963,2.8125,2.805951936401566
barabasi_albert,20,iid,0.3,0.75,constant,0.7499999999999999,4.4220139604717054e-17,7.8613581519497e-17,6.381249307785511e-18,0.0102,0.010000000015150043,0.0093,0.010000000015150043,4.4220139604717054e-17,-0.011183690773174604
barabasi_albert,20,iid,0.3,0.75,edge_bipolar,0.7499999999999999,4.007812499999999,7.125,0.5570584021738699,0.0102,0.010000000015150043,0.10285,0.10633662370020379,4.007812499999999,3.9565318905526263
barabasi_albert,20,iid,0.3,0.75,fiedler,0.75,0.9075367511933925,1.613398668788253,0.1271754990213463,0.0102,0.010000000015150043,0.0152,0.01545336441507543,0.9075367511933925,0.926434736396375
barabasi_albert,20,iid,0.3,0.75,high_frequency,0.75,7.199394273148987,12.798923152264864,1.0,0.0102,0.010000000015150043,0.27995000000000003,0.2785801017438401,7.199394273148987,7.196223592302948
barabasi_albert,20,iid,0.3,0.75,point,0.75,2.53125,4.5,0.3545375342713193,0.0102,0.010000000015150043,0.047549999999999995,0.0465990093873465,2.53125,2.510198373646083
barabasi_albert,20,iid,0.3,1.5,cluster,1.5,11.109375,4.9375,0.3876067634155842,0.0102,0.010000000015150043,0.4929,0.49504391904498946,11.109375,11.121896122282214
barabasi_albert,20,iid,0.3,1.5,constant,1.4999999999999998,1.7688055841886821e-16,7.8613581519497e-17,6.381249307785511e-18,0.0102,0.010000000015150043,0.00975,0.010000000015150043,1.7688055841886821e-16,-0.00895449063308762
barabasi_albert,20,iid,0.3,1.5,edge_bipolar,1.4999999999999998,16.312499999999996,7.25,0.5648785460235745,0.0102,0.010000000015150043,0.7052499999999999,0.7049658169010703,16.312499999999996,16.3422337498236
barabasi_albert,20,iid,0.3,1.5,fiedler,1.5,3.63014700477357,1.613398668788253,0.1271754990213463,0.0102,0.010000000015150043,0.0567,0.053662856138047096,3.63014700477357,3.6689130406598633
barabasi_albert,20,iid,0.3,1.5,high_frequency,1.5,28.797577092595947,12.798923152264864,1.0,0.0102,0.010000000015150043,0.9573,0.9576654291735291,28.797577092595947,28.72731131678818
barabasi_albert,20,iid,0.3,1.5,point,1.5,11.25,5.0,0.39218258177556203,0.0102,0.010000000015150043,0.5022500000000001,0.5005587631528474,11.25,11.29972319002932
barabasi_albert,20,iid,0.3,3.0,cluster,3.0,44.4375,4.9375,0.38599351194035053,0.0102,0.010000000015150043,0.99985,0.9997902843891973,44.4375,44.2709967292407
barabasi_albert,20,iid,0.3,3.0,constant,2.9999999999999996,7.075222336754729e-16,7.8613581519497e-17,6.381249307785511e-18,0.0102,0.010000000015150043,0.00895,0.010000000015150043,7.075222336754729e-16,0.0007734585903076407
barabasi_albert,20,iid,0.3,3.0,edge_bipolar,2.9999999999999996,49.499999999999986,5.5,0.42853342410718015,0.0102,0.010000000015150043,1.0,0.9999938250183229,49.499999999999986,49.47458183136304
barabasi_albert,20,iid,0.3,3.0,fiedler,3.0,14.52058801909428,1.613398668788253,0.1271754990213463,0.0102,0.010000000015150043,0.79915,0.800337176876535,14.52058801909428,14.546070368073673
barabasi_albert,20,iid,0.3,3.0,high_frequency,3.0,115.19030837038379,12.798923152264864,1.0,0.0102,0.010000000015150043,1.0,0.9999999999652892,115.19030837038379,115.11273698820591
barabasi_albert,20,iid,0.3,3.0,point,3.0,56.25,6.25,0.4866511873545842,0.0102,0.010000000015150043,0.99985,0.9999151284174899,56.25,56.272170897458075
barabasi_albert,40,correlated,0.15,0.75,cluster,0.7499999999999999,3.533203124999999,6.28125,0.3163444975296193,0.0097,0.00999999994765663,0.48485,0.4813290928722623,3.533203124999999,3.546016371662443
barabasi_albert,40,correlated,0.15,0.75,constant,0.7499999999999999,-6.582812753581314e-17,-1.1702778228589004e-16,-5.8166873278649575e-18,0.0097,0.00999999994765663,0.00955,0.00999999994765663,-6.582812753581314e-17,-0.004145111553945258
barabasi_albert,40,correlated,0.15,0.75,edge_bipolar,0.7499999999999999,5.273437499999999,9.375,0.4561395320381798,0.0097,0.00999999994765663,0.65235,0.6581569794158999,5.273437499999999,5.252970002682234
barabasi_albert,40,correlated,0.15,0.75,fiedler,0.75,0.7187455541641931,1.2777698740696763,0.0632543426527209,0.0097,0.00999999994765663,0.0268,0.028797332037288126,0.7187455541641931,0.7010410797540252
barabasi_albert,40,correlated,0.15,0.75,high_frequency,0.75,11.306493783590277,20.100433393049375,0.9999999999999994,0.0097,0.00999999994765663,0.9879,0.9862919656340627,11.306493783590277,11.307302680857081
barabasi_albert,40,correlated,0.15,0.75,point,0.75,6.1875,11.0,0.5459262294995185,0.0097,0.00999999994765663,0.7079500000000001,0.7087774104200969,6.1875,6.185036684208379
barabasi_albert,40,correlated,0.15,1.5,cluster,1.4999999999999998,12.375,5.500000000000001,0.27483219093469824,0.0097,0.00999999994765663,0.992,0.9923851824518889,12.375,12.329213448632771
barabasi_albert,40,correlated,0.15,1.5,constant,1.4999999999999998,-2.633125101432526e-16,-1.1702778228589004e-16,-5.8166873278649575e-18,0.0097,0.00999999994765663,0.00865,0.00999999994765663,-2.633125101432526e-16,-0.020898533025582644
barabasi_albert,40,correlated,0.15,1.5,edge_bipolar,1.4999999999999998,22.781249999999996,10.125,0.5217205400286847,0.0097,0.00999999994765663,1.0,0.9999990265075553,22.781249999999996,22.76186103885817
barabasi_albert,40,correlated,0.15,1.5,fiedler,1.5,2.8749822166567722,1.2777698740696763,0.0632543426527209,0.0097,0.00999999994765663,0.3338,0.3337042051363564,2.8749822166567722,2.8644513925748654
barabasi_albert,40,correlated,0.15,1.5,high_frequency,1.5,45.22597513436111,20.100433393049375,0.9999999999999994,0.0097,0.00999999994765663,1.0,0.9999999999999895,45.22597513436111,45.20263745688626
barabasi_albert,40,correlated,0.15,1.5,point,1.5,11.8125,5.25,0.25109611466231524,0.0097,0.00999999994765663,0.99575,0.9960240928125114,11.8125,11.806845603582286
barabasi_albert,40,correlated,0.15,3.0,cluster,2.9999999999999996,50.62499999999999,5.625,0.27829673985872416,0.0097,0.00999999994765663,1.0,1.0,50.62499999999999,50.64155173857438
barabasi_albert,40,correlated,0.15,3.0,constant,2.9999999999999996,-1.0532500405730103e-15,-1.1702778228589004e-16,-5.8166873278649575e-18,0.0097,0.00999999994765663,0.01115,0.00999999994765663,-1.0532500405730103e-15,0.01137313001724194
barabasi_albert,40,correlated,0.15,3.0,edge_bipolar,2.9999999999999996,68.62499999999999,7.625,0.38064319006376407,0.0097,0.00999999994765663,1.0,0.999999999999999,68.62499999999999,68.61845178469532
barabasi_albert,40,correlated,0.15,3.0,fiedler,3.0,11.499928866627089,1.2777698740696763,0.0632543426527209,0.0097,0.00999999994765663,1.0,0.9999994058542396,11.499928866627089,11.488257553929149
barabasi_albert,40,correlated,0.15,3.0,high_frequency,3.0,180.90390053744443,20.100433393049375,0.9999999999999994,0.0097,0.00999999994765663,1.0,0.9999999999999435,180.90390053744443,180.99891893929052
barabasi_albert,40,correlated,0.15,3.0,point,3.0,29.25,3.25,0.161699183238795,0.0097,0.00999999994765663,1.0,0.9999999999762166,29.25,29.260542065152293
barabasi_albert,40,correlated,0.3,0.75,cluster,0.7499999999999999,2.935546875,5.218750000000001,0.27042263148384516,0.009899999999999999,0.010000000111679369,0.04745,0.04887782773762353,2.935546875,2.9451803745702287
barabasi_albert,40,correlated,0.3,0.75,constant,0.7499999999999999,-4.937109565185985e-18,-8.777083671441751e-18,-4.175203269808504e-19,0.009899999999999999,0.010000000111679369,0.00915,0.010000000111679369,-4.937109565185985e-18,-0.002660998514245172
barabasi_albert,40,correlated,0.3,0.75,edge_bipolar,0.7499999999999999,5.554687499999999,9.875,0.5237674098277739,0.009899999999999999,0.010000000111679369,0.1221,0.12393038946736386,5.554687499999999,5.538334646557857
barabasi_albert,40,correlated,0.3,0.75,fiedler,0.75,0.7944853400608153,1.4124183823303382,0.07317385952562377,0.009899999999999999,0.010000000111679369,0.01225,0.013741436410613303,0.7944853400608153,0.7892280566740029
barabasi_albert,40,correlated,0.3,0.75,high_frequency,0.75,10.878427034814164,19.339425839669623,1.0000000000000002,0.009899999999999999,0.010000000111679369,0.35435,0.35430657054644904,10.878427034814164,10.878301178185147
barabasi_albert,40,correlated,0.3,0.75,point,0.75,2.671875,4.75,0.24306040305765705,0.009899999999999999,0.010000000111679369,0.0322,0.0331720250217908,2.671875,2.649666640606478
