graph_type,n,noise_model,sigma,amplitude,pattern,repetition,signal_location,signal_norm,signal_graph_energy,rayleigh_quotient,lambda2,lambda_max,normalized_rayleigh,tau_spectral,pfa_mc,pfa_theory,pd_mc,pd_theory,pd_error,theoretical_mean_shift,empirical_mean_shift,mean_shift_error
star,20,iid,0.15,3.0,cluster,1,2;0;1;3,3.0,36.0,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0096,0.010000000001305465,1.0,1.0,0.0,36.0,35.96473640834458,-0.03526359165542203
star,20,iid,0.15,3.0,point,1,11,3.0,9.0,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0096,0.010000000001305465,1.0,0.9999999999999992,7.771561172376096e-16,9.0,9.036649065043775,0.03664906504377541
star,20,iid,0.15,3.0,edge_bipolar,1,0-7,2.9999999999999996,99.0,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.0096,0.010000000001305465,1.0,0.9999999999992047,7.952527525389996e-13,99.0,99.14234639649848,0.1423463964984819
star,20,iid,0.15,3.0,high_frequency,1,lambda_max,2.9999999999999996,180.00000000000006,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.0096,0.010000000001305465,1.0,1.0,0.0,180.00000000000006,180.16085349770458,0.1608534977045224
star,20,iid,0.15,0.75,constant,2,all,0.7499999999999999,3.7238012298709096e-17,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.008,0.010000000001305465,0.0098,0.010000000001305465,-0.00020000000130546494,3.7238012298709096e-17,0.005609689295318687,0.00560968929531865
star,20,iid,0.15,0.75,fiedler,2,fiedler,0.7500000000000001,0.5625000000000001,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.008,0.010000000001305465,0.0216,0.02127229613370607,0.00032770386629393106,0.5625000000000001,0.5608127006505661,-0.0016872993494340127
star,20,iid,0.15,0.75,cluster,2,17;0;1;2,0.75,2.25,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.008,0.010000000001305465,0.3528,0.3567302927674737,-0.003930292767473698,2.25,2.197575098636351,-0.05242490136364886
star,20,iid,0.15,0.75,point,2,13,0.75,0.5625,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.008,0.010000000001305465,0.024,0.024554705094985974,-0.000554705094985973,0.5625,0.5778584919595817,0.015358491959581722
star,20,iid,0.15,0.75,edge_bipolar,2,0-6,0.7499999999999999,6.1875,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.008,0.010000000001305465,0.881,0.8770594196063675,0.003940580393632542,6.1875,6.2330213002179695,0.04552130021796952
star,20,iid,0.15,0.75,high_frequency,2,lambda_max,0.7499999999999999,11.250000000000004,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.008,0.010000000001305465,0.992,0.9921448187760316,-0.00014481877603156335,11.250000000000004,11.24375308764464,-0.006246912355363676
star,20,iid,0.15,1.5,constant,2,all,1.4999999999999998,1.4895204919483638e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.008,0.010000000001305465,0.0118,0.010000000001305465,0.001799999998694535,1.4895204919483638e-16,0.011530885845039696,0.011530885845039546
